event_id,query_id,product_id,match_rank,clicked,time_spent_on_page_cleaned,product_id,name,category,company,matched_intents,price,rating,num_reviews,query_id,raw_prompt,mapped_intent,match_success
M1,Q68,P77,2,TRUE,55,P77,Travel Canister,Kitchen,FlashZone,"EDC gear, emergency gear",71.35,3.2,448,Q68,Back-to-school tech under $100,budget tech,0
M2,Q25,P38,1,FALSE,0,P38,EDC Tool Kit,Accessories,GearNest,"luxury gifts, minimalist gifts",73.44,4.7,527,Q25,Durable running belt for marathon,running accessories,0
M3,Q39,P2,3,TRUE,19,P2,EDC Tool Kit,Kitchen,GearNest,"luxury gifts, minimalist gifts",99.77,3.3,515,Q39,Looking for a gift for minimalist dads,minimalist gifts,1
M4,Q6,P7,3,FALSE,0,P7,Smartwatch,Tech,FlashZone,"outdoor survival gear, EDC gear",92.57,4.7,315,Q6,Cheap EDC gear under $50?,budget EDC gear,0
M5,Q17,P82,2,TRUE,57,P82,Kitchen Scissors,Travel Gear,GearNest,"EDC gear, emergency gear",35.28,3.9,127,Q17,Noise-canceling headphones under $200,budget tech,0
M6,Q2,P74,2,FALSE,0,P74,Smartwatch,Kitchen,FlashZone,running accessories,78.54,4.1,627,Q2,What's a good travel container?,travel container,0
M7,Q57,P44,1,TRUE,18,P44,Key Organizer,Outdoor Gear,Minimade,"emergency gear, outdoor survival gear",97.78,4.5,957,Q57,What's a good travel container?,travel container,0
M8,Q62,P15,1,FALSE,0,P15,Mini Flashlight,Accessories,GearNest,"EDC gear, emergency gear",15.61,4.4,70,Q62,Looking for a gift for minimalist dads,minimalist gifts,0
M9,Q10,P74,3,TRUE,11,P74,Smartwatch,Kitchen,FlashZone,running accessories,78.54,4.1,627,Q10,Small flashlight for emergencies,emergency gear,0
M10,Q20,P73,2,TRUE,17,P73,Running Belt,Tech,FlashZone,"travel container, EDC gear",47.33,3,370,Q20,Noise-canceling headphones under $200,budget tech,0
M11,Q16,P72,2,TRUE,51,P72,Running Belt,Outdoor Gear,Minimade,"emergency gear, outdoor survival gear",50.34,3.4,440,Q16,Best waterproof hiking flashlight,outdoor survival gear,1
M12,Q67,P49,2,FALSE,0,P49,Key Organizer,Outdoor Gear,TechSeed,"luxury gifts, minimalist gifts",58.3,4.4,873,Q67,Cheap EDC gear under $50?,budget EDC gear,0
M13,Q76,P55,2,TRUE,41,P55,Leather Wallet,Fitness,TechSeed,"minimalist gifts, EDC gear",91.5,4,692,Q76,Best waterproof hiking flashlight,outdoor survival gear,0
M14,Q95,P13,1,TRUE,18,P13,Kitchen Scissors,Fitness,Minimade,budget tech,99.59,4.3,458,Q95,Durable running belt for marathon,running accessories,0
M15,Q85,P11,1,TRUE,13,P11,Headphones,Travel Gear,GearNest,"emergency gear, outdoor survival gear",25.91,4,572,Q85,Best waterproof hiking flashlight,outdoor survival gear,1
M16,Q71,P10,1,TRUE,28,P10,Smartwatch,Accessories,GearNest,"travel container, EDC gear",89.63,4.9,97,Q71,Compact kitchen tool for small spaces,minimalist kitchen tools,0
M17,Q58,P89,3,FALSE,0,P89,Headphones,Fitness,Minimade,"outdoor survival gear, EDC gear",29.97,4,676,Q58,Best waterproof hiking flashlight,outdoor survival gear,1
M18,Q5,P30,2,FALSE,0,P30,EDC Tool Kit,Tech,FlashZone,"travel container, EDC gear",21.97,4.3,588,Q5,Best waterproof hiking flashlight,outdoor survival gear,0
M19,Q59,P10,3,TRUE,18,P10,Smartwatch,Accessories,GearNest,"travel container, EDC gear",89.63,4.9,97,Q59,Compact kitchen tool for small spaces,minimalist kitchen tools,0
M20,Q81,P76,3,TRUE,29,P76,Running Belt,Fitness,Minimade,"outdoor survival gear, EDC gear",93.16,5,556,Q81,Noise-canceling headphones under $200,budget tech,0
M21,Q15,P70,1,TRUE,60,P70,Smartwatch,Accessories,UrbanTrek,budget tech,42.18,4.1,151,Q15,Best waterproof hiking flashlight,outdoor survival gear,0
M22,Q35,P19,1,TRUE,12,P19,Leather Wallet,Kitchen,Minimade,running accessories,88.43,3.1,679,Q35,Back-to-school tech under $100,budget tech,0
M23,Q40,P77,3,FALSE,0,P77,Travel Canister,Kitchen,FlashZone,"EDC gear, emergency gear",71.35,3.2,448,Q40,Back-to-school tech under $100,budget tech,0
