query_id,raw_prompt,mapped_intent
Q1,Looking for a gift for minimalist dads,minimalist gifts
Q2,What's a good travel container?,travel container
Q3,Compact kitchen tool for small spaces,minimalist kitchen tools
Q4,Best waterproof hiking flashlight,outdoor survival gear
Q5,Best waterproof hiking flashlight,outdoor survival gear
Q6,Cheap EDC gear under $50?,budget EDC gear
Q7,Looking for a gift for minimalist dads,minimalist gifts
Q8,Noise-canceling headphones under $200,budget tech
Q9,Looking for a gift for minimalist dads,minimalist gifts
Q10,Small flashlight for emergencies,emergency gear
Q11,Luxury gift for men,luxury gifts
Q12,What's a good travel container?,travel container
Q13,What's a good travel container?,travel container
Q14,Looking for a gift for minimalist dads,minimalist gifts
Q15,Best waterproof hiking flashlight,outdoor survival gear
Q16,Best waterproof hiking flashlight,outdoor survival gear
Q17,Noise-canceling headphones under $200,budget tech
Q18,Small flashlight for emergencies,emergency gear
Q19,What's a good travel container?,travel container
Q20,Noise-canceling headphones under $200,budget tech
Q21,Best waterproof hiking flashlight,outdoor survival gear
Q22,Noise-canceling headphones under $200,budget tech
Q23,Luxury gift for men,luxury gifts
Q24,Best waterproof hiking flashlight,outdoor survival gear
Q25,Durable running belt for marathon,running accessories
Q26,Small flashlight for emergencies,emergency gear
Q27,Compact kitchen tool for small spaces,minimalist kitchen tools
Q28,What's a good travel container?,travel container
Q29,Cheap EDC gear under $50?,budget EDC gear
Q30,Luxury gift for men,luxury gifts
Q31,Back-to-school tech under $100,budget tech
Q32,Compact kitchen tool for small spaces,minimalist kitchen tools
Q33,Cheap EDC gear under $50?,budget EDC gear
Q34,Best waterproof hiking flashlight,outdoor survival gear
Q35,Back-to-school tech under $100,budget tech
Q36,Looking for a gift for minimalist dads,minimalist gifts
Q37,Looking for a gift for minimalist dads,minimalist gifts
Q38,Luxury gift for men,luxury gifts
Q39,Looking for a gift for minimalist dads,minimalist gifts
Q40,Back-to-school tech under $100,budget tech
Q41,Back-to-school tech under $100,budget tech
Q42,Small flashlight for emergencies,emergency gear
Q43,Compact kitchen tool for small spaces,minimalist kitchen tools
Q44,What's a good travel container?,travel container
Q45,Durable running belt for marathon,running accessories
Q46,Noise-canceling headphones under $200,budget tech
Q47,Looking for a gift for minimalist dads,minimalist gifts
Q48,Luxury gift for men,luxury gifts
Q49,Looking for a gift for minimalist dads,minimalist gifts
Q50,Noise-canceling headphones under $200,budget tech
Q51,Compact kitchen tool for small spaces,minimalist kitchen tools
Q52,Small flashlight for emergencies,emergency gear
Q53,Back-to-school tech under $100,budget tech
Q54,Small flashlight for emergencies,emergency gear
Q55,Best waterproof hiking flashlight,outdoor survival gear
Q56,Looking for a gift for minimalist dads,minimalist gifts
Q57,What's a good travel container?,travel container
Q58,Best waterproof hiking flashlight,outdoor survival gear
Q59,Compact kitchen tool for small spaces,minimalist kitchen tools
Q60,Looking for a gift for minimalist dads,minimalist gifts
Q61,Best waterproof hiking flashlight,outdoor survival gear
Q62,Looking for a gift for minimalist dads,minimalist gifts
Q63,Luxury gift for men,luxury gifts
Q64,Compact kitchen tool for small spaces,minimalist kitchen tools
Q65,Durable running belt for marathon,running accessories
Q66,Back-to-school tech under $100,budget tech
Q67,Cheap EDC gear under $50?,budget EDC gear
Q68,Back-to-school tech under $100,budget tech
Q69,Back-to-school tech under $100,budget tech
Q70,Best waterproof hiking flashlight,outdoor survival gear
Q71,Compact kitchen tool for small spaces,minimalist kitchen tools
Q72,Looking for a gift for minimalist dads,minimalist gifts
Q73,Small flashlight for emergencies,emergency gear
Q74,Cheap EDC gear under $50?,budget EDC gear
Q75,Noise-canceling headphones under $200,budget tech
Q76,Best waterproof hiking flashlight,outdoor survival gear
Q77,Cheap EDC gear under $50?,budget EDC gear
Q78,Durable running belt for marathon,running accessories
Q79,Luxury gift for men,luxury gifts
Q80,Compact kitchen tool for small spaces,minimalist kitchen tools
Q81,Noise-canceling headphones under $200,budget tech
Q82,Best waterproof hiking flashlight,outdoor survival gear
Q83,Back-to-school tech under $100,budget tech
Q84,What's a good travel container?,travel container
Q85,Best waterproof hiking flashlight,outdoor survival gear
Q86,What's a good travel container?,travel container
Q87,Back-to-school tech under $100,budget tech
Q88,Luxury gift for men,luxury gifts
Q89,Compact kitchen tool for small spaces,minimalist kitchen tools
Q90,Looking for a gift for minimalist dads,minimalist gifts
Q91,Best waterproof hiking flashlight,outdoor survival gear
Q92,Small flashlight for emergencies,emergency gear
Q93,Back-to-school tech under $100,budget tech
Q94,Best waterproof hiking flashlight,outdoor survival gear
Q95,Durable running belt for marathon,running accessories
Q96,Luxury gift for men,luxury gifts
Q97,Durable running belt for marathon,running accessories
Q98,Cheap EDC gear under $50?,budget EDC gear
Q99,Compact kitchen tool for small spaces,minimalist kitchen tools
Q100,Cheap EDC gear under $50?,budget EDC gear
